Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Jadiel Sanchez","LAA","RF","A+","22.2194444",,15,"35 / 55","30 / 40","40 / 45","50 / 50","40",443,0.377828054,0.475065616,0.17847769,0.106094808,0.144469525,129.2580774902566,"sa3011629"
"Dasan Brown","TOR","CF","AA","21.8444444",,22,"30 / 30","30 / 40","40 / 45","80 / 80","40",470,0.310492505,0.315403422,0.095354523,0.089361702,0.24893617,75.00321455653321,"sa3011717"
"Erick Brito","PHI","2B","AA","21.1777777",,27,"35 / 60","20 / 30","20 / 30","45 / 45","35+",399,0.324873096,0.300291545,0.064139942,0.090225563,0.142857142,78.89573969986289,"sa3011753"
"Willy Vasquez","TBR","CF","AA","21.8972222",,18,"30 / 45","30 / 50","55 / 60","55 / 50","40+",473,0.309322033,0.39192399,0.159144893,0.097251585,0.232558139,92.29396253733857,"sa3011821"
"Trei Cruz","DET","CF","AA","25.0666666",,32,"30 / 30","30 / 35","45 / 45","55 / 55","35+",542,0.336414048,0.369230769,0.156043956,0.153136531,0.23800738,99.07021105370981,"sa3014420"
"Gage Workman","DET","SS","AA","23.7638888",,17,"30 / 30","30 / 40","50 / 55","55 / 55","40",426,0.34117647,0.416893732,0.171662125,0.117370892,0.338028169,111.63143366703179,"sa3014441"
"Hudson Haskin","BAL","CF","AAA","24.5805555",,21,"35 / 50","30 / 40","45 / 45","60 / 60","40",142,0.40140845,0.475,0.175,0.070422535,0.323943661,130.26215752154755,"sa3014449"
"Isaiah Greene","CLE","LF","A+","21.9166666",,41,"30 / 45","30 / 40","40 / 50","50 / 50","35+",215,0.288372093,0.279569892,0.096774194,0.130232558,0.348837209,66.3109154200091,"sa3014460"
"Petey Halpin","CLE","CF","AA","21.175",,28,"35 / 55","30 / 40","35 / 40","60 / 60","40",523,0.314176245,0.37012987,0.127705628,0.095602294,0.246653919,88.24821776821965,"sa3014461"
"Owen Caissie","CHC","RF","AAA","21.0583333",,8,"30 / 30","55 / 65","70 / 80","40 / 30","45",534,0.39587242,0.514606741,0.226966292,0.142322097,0.310861423,141.98957434386125,"sa3014465"
"Freddy Zamora","MIL","SS","AAA","24.7444444",,18,"40 / 50","30 / 35","40 / 40","60 / 60","40",438,0.351598173,0.359788359,0.105820106,0.121004566,0.205479452,96.77348380339653,"sa3014500"
"Werner Blakely","LAA","3B","A+","21.4388888",,24,"20 / 30","30 / 40","45 / 55","45 / 45","35+",389,0.313624678,0.325373134,0.116417911,0.120822622,0.372750642,78.46703515045155,"sa3014502"
"Zac Veen","COL","RF","AAA","21.6305555",,11,"30 / 40","30 / 45","55 / 60","70 / 70","40+",254,0.307086614,0.324324324,0.099099099,0.098425196,0.232283464,74.80227515243554,"sa3014516"
"Austin Hendrick","CIN","RF","AA","22.1222222",,37,"20 / 30","25 / 55","60 / 60","50 / 45","35+",523,0.271510516,0.341101694,0.13559322,0.072657743,0.357552581,71.98837275526722,"sa3014521"
"A.J. Vukovich","ARI","CF","AAA","22.025",,21,"30 / 40","40 / 50","55 / 60","50 / 50","40",515,0.333980582,0.484913793,0.219827587,0.089320388,0.283495145,111.4620169985559,"sa3014525"
"Jesse Franklin V","ATL","LF","AA","24.6611111",,29,"30 / 35","40 / 50","55 / 55","50 / 50","35+",387,0.315245478,0.419354838,0.187683284,0.082687338,0.297157622,95.23079885705553,"sa3014532"
"Blaze Jordan","BOS","1B","AA","20.6111111",,29,"35 / 50","35 / 55","55 / 60","30 / 30","40",529,0.351606805,0.48125,0.183333334,0.075614366,0.143667296,123.91895214059997,"sa3014537"
"Milan Tolentino","CLE","SS","AA","21.7",,32,"30 / 40","30 / 40","45 / 50","55 / 55","40",433,0.323325635,0.355263157,0.113157894,0.101616628,0.270207852,91.40685886681818,"sa3014544"
"Zavier Warren","MIL","3B","AA","24.5583333",,26,"40 / 50","30 / 40","50 / 50","40 / 40","40",438,0.317351598,0.404145077,0.168393782,0.102739726,0.203196347,92.26483441113584,"sa3014549"
"Kevin Made","CHC","SS","AA","20.8861111",,19,"30 / 45","30 / 45","40 / 50","55 / 55","40+",383,0.307086614,0.319402985,0.101492538,0.101827676,0.187989556,80.44047620936237,"sa3014679"
"Roberto Campos","DET","RF","A+","20.125",,9,"35 / 50","35 / 55","50 / 55","50 / 50","40+",379,0.308707124,0.389048991,0.135446686,0.073878627,0.224274406,94.97865099934634,"sa3014683"
"Jose Salas","MIN","2B","A+","20.2583333",,12,"30 / 50","30 / 45","45 / 50","40 / 40","45",390,0.268041237,0.268786127,0.078034682,0.076923076,0.256410256,55.090923521108614,"sa3014690"
"Ian Lewis","MIA","2B","CPX","20.4861111",,28,"30 / 35","30 / 50","45 / 60","70 / 70","35+",479,0.304621848,0.332547169,0.108490566,0.09394572,0.206680584,77.355381501604,"sa3014691"
"Hedbert Perez","MIL","LF","A+","20.3194444",,38,"20 / 40","25 / 50","55 / 60","50 / 45","35+",266,0.293233082,0.3625,0.141666667,0.086466165,0.270676691,85.66334971993268,"sa3014692"
"Emmanuel Rodriguez","MIN","CF","AAA","20.4138888",,6,"30 / 35","35 / 50","55 / 60","50 / 50","45+",461,0.399132321,0.469444444,0.227777778,0.19956616,0.297180043,145.51635882079322,"sa3014693"
"Alex Ramirez","NYM","CF","AAA","20.5444444",79,4,"30 / 40","35 / 60","55 / 70","60 / 60","50",542,0.306839186,0.312368972,0.092243186,0.105166051,0.223247232,75.19052594685297,"sa3014695"
"Robert Hassell III","WSN","CF","AAA","21.9555555",,7,"40 / 55","30 / 40","40 / 45","55 / 55","45",545,0.32412523,0.321199143,0.100642398,0.124770642,0.295412844,84.51897958232072,"sa3014701"
"Aeverson Arteaga","SFG","SS","A+","20.3694444",,10,"30 / 40","25 / 45","40 / 50","55 / 55","45",555,0.297297297,0.404,0.172,0.075675675,0.239639639,87.38986565978213,"sa3014707"
"Estiven Machado","TOR","SS","","20.8194444",,33,"25 / 55","20 / 30","20 / 30","55 / 55","35+",258,0.279069767,0.245614035,0.061403509,0.089147286,0.224806201,49.70526091291699,"sa3014715"
"Elijah Dunham","NYY","LF","AA","25.1666666",,24,"40 / 45","40 / 50","55 / 55","45 / 45","40",564,0.335106382,0.389233954,0.15942029,0.124113475,0.271276595,92.5957959462596,"sa3014827"
"Zach Daniels","HOU","RF","AA","24.5166666",,34,"20 / 30","45 / 50","70 / 70","60 / 60","35+",384,0.34375,0.450581395,0.177325582,0.0859375,0.3203125,109.31877070612632,"sa3014935"
"Brett Auerbach","SFG","C","AAA","24.9222222",,44,"35 / 55","30 / 35","40 / 40","55 / 55","35+",404,0.264851485,0.300268096,0.09383378,0.064356435,0.282178217,53.9215863324402,"sa3014941"
"Justin Dirden","HOU","RF","","26.0361111",,31,"30 / 35","45 / 50","50 / 50","50 / 50","35+",404,0.325,0.417142857,0.177142857,0.103960396,0.29950495,78.51443259134055,"sa3014986"
"Yoelqui Cespedes","CHW","CF","ST","25.8472222",,12,"30 / 30","40 / 45","60 / 60","60 / 60","40",504,0.318725099,0.349206349,0.120181406,0.089285714,0.283730158,81.05669374712433,"sa3015137"
"Deyvison De Los Santos","ARI","DH","AAA","20.1055555",,11,"20 / 30","25 / 60","70 / 70","40 / 30","40+",499,0.298597194,0.434968017,0.179104478,0.052104208,0.264529058,89.19546464598129,"sa3015168"
