Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Carlos Mateo","PIT","SIRP","CPX","18.7472222",,39,"60 / 70","40 / 50","","30 / 45","20 / 40","35+",23,0.16030534,0.26717557,0.539682539,11.73913043478261,8.598089664137882,"sa3022011"
"Yohanfer Santana","MIA","SP","DSL","18.7805555",,5,"55 / 60","50 / 60","","40 / 50","20 / 50","45+",7,0.38709677,0.12903226,0.384615384,9,3.6821603346083847,"sa3022143"
"Jose Urbina","TBR","SIRP","A","18.7277777",,36,"50 / 60","50 / 60","","","20 / 40","40",65,0.20879121,0.10622711,0.363128491,4.707692307692308,4.59774618687538,"sa3022218"
"Ashton Izzi","SEA","SP","A","20.6833333",,19,"45 / 55","50 / 55","","30 / 50","30 / 50","40",110.2,0.19709544,0.12240664,0.440894568,2.846385803809642,5.22442193744504,"sa3022230"
"Jonah Tong","NYM","MIRP","AA","21.125",,18,"55 / 60","40 / 50","45 / 45","30 / 40","30 / 45","40",113,0.34188034,0.10042735,0.451612903,3.0265486725663715,2.884008677839467,"sa3022324"
"Hunter Barco","PIT","SP","AA","23.6083333",,8,"45 / 50","50 / 55","","45 / 50","45 / 50","45",66,0.31203008,0.08270677,0.463576158,3.272727272727273,3.1670819625484223,"sa3022409"
"Trent Harris","SFG","SIRP","AA","25.5055555",,12,"55 / 55","35 / 55","60 / 60","30 / 40","30 / 40","40+",79.2,0.34539474,0.08223684,0.482558139,1.8075313086277747,2.891575663368229,"sa3022526"
"Ruddy Navarro","SEA","SP","DSL","18.0083333",,32,"30 / 50","50 / 60","","30 / 50","20 / 45","35+",12,0.34042553,0.04255319,0.8,0.75,2.653203707312545,"sa3022555"
"Samuel Carpio","MIA","SIRP","CPX","21.2166666",,23,"60 / 70","","40 / 45","","30 / 40","40",21.2,0.31111111,0.12222222,0.531914893,2.4923073266385405,3.720381334746333,"sa3022650"
"Camden Minacci","LAA","SIRP","AA","22.5277777",,9,"60 / 60","55 / 55","","","30 / 40","40",52,0.31877729,0.10043668,0.4453125,3.2884615384615383,2.876406308885747,"sa3022728"
"Skylar Hales","TEX","SIRP","AA","22.75",,27,"55 / 60","55 / 60","","","30 / 45","40",56.2,0.28695652,0.07391304,0.384615384,3.1764704100401033,3.4853415799303504,"sa3022739"
"Ryan Lobus","TEX","MIRP","AA","23.8777777",,30,"45 / 45","60 / 60","","30 / 40","35 / 60","35+",94.1,0.35828877,0.05882353,0.38,2.957597392412943,2.6445559422623193,"sa3022744"
"Colby Langford","HOU","SIRP","A+","22.2333333",,39,"45 / 60","30 / 50","","30 / 45","20 / 35","35+",57.2,0.28787879,0.19318182,0.357142857,5.462427263872685,5.015670515019339,"sa3022800"
"Izack Tiger","TEX","SIRP","A+","23.4611111",,14,"65 / 65","55 / 60","","","40 / 50","40+",46,0.30890052,0.10994764,0.457943925,2.93478200025517,3.4669406872531345,"sa3022875"
"Chen-Wei Lin","STL","SP","A","22.6722222",,12,"60 / 70","45 / 55","","35 / 55","30 / 45","40+",116,0.26623377,0.07792208,0.453287197,2.793103448275862,3.3758825627380404,"sa3022876"
"Mitch Farris","ATL","SP","AA","23.4444444",,26,"35 / 45","","50 / 50","55 / 60","35 / 55","35+",108,0.29638009,0.09728507,0.355212355,3.0833333877869604,3.670808099822856,"sa3022912"
"Will Johnston","OAK","SP","AA","23.6166666",,32,"50 / 55","","45 / 50","30 / 45","30 / 50","35+",99.2,0.33171913,0.0968523,0.390350877,3.8829435401272003,3.0371926567627194,"sa3022940"
"Noble Meyer","MIA","SP","A+","19.5388888",84,2,"50 / 55","50 / 60","","50 / 60","25 / 55","50",74,0.265625,0.171875,0.371257485,4.013513513513513,4.858510862371406,"sa3022945"
"Seth Keener","CHW","SIRP","A+","22.8055555",,24,"45 / 50","60 / 70","","40 / 45","30 / 40","40",69.1,0.27891156,0.12244898,0.461077844,4.024038756740185,3.787735075517853,"sa3022949"
"Brandyn Garcia","SEA","SIRP","AA","24.1583333",,26,"50 / 55","55 / 60","","","30 / 50","35+",118,0.27037773,0.09542744,0.537414965,2.211864406779661,3.626995846770389,"sa3022951"
"Lucas Braun","ATL","SP","AA","22.9111111",,15,"40 / 45","60 / 65","","40 / 50","35 / 55","40",143.2,0.27692308,0.07179487,0.375,3.2575408339031484,3.243887449835527,"sa3022996"
"Patrick Reilly","PIT","MIRP","AA","22.7972222",,22,"55 / 65","45 / 55","","35 / 45","30 / 35","40",119.1,0.29735234,0.12016293,0.332116788,3.469273835434563,3.909196922562435,"sa3023038"
"T.J. Nichols","TBR","MIRP","A","22.0833333",,32,"50 / 55","55 / 60","","30 / 50","30 / 40","40",71.1,0.22916667,0.07638889,0.494949494,2.901869365789778,3.3916113194717696,"sa3023039"
"Cade Denton","COL","SIRP","A+","22.5722222",,44,"55 / 55","50 / 55","","30 / 40","30 / 40","35+",39.2,0.19298246,0.06432749,0.5,3.6302526827023103,4.588233536298818,"sa3023047"
"Nolan McLean","NYM","SIRP","AA","23",,11,"55 / 60","55 / 70","","","30 / 45","40+",109.2,0.25053996,0.09071274,0.496478873,3.7750763380127266,3.780139756915554,"sa3023053"
"Logan Evans","SEA","SIRP","AA","23.1361111",,10,"45 / 50","70 / 70","","40 / 45","40 / 45","40+",108,0.22,0.09333333,0.477815699,3.1666666666666665,4.072502430169671,"sa3023077"
"Barrett Kent","LAA","SP","A","19.8194444",,4,"45 / 55","45 / 50","","40 / 50","30 / 50","40+",113,0.24271845,0.1184466,0.382636655,6.212389380530974,5.050344683810145,"sa3023082"
"Andrew Dunford","DET","SP","CPX","19.5527777",,30,"50 / 65","20 / 55","30 / 45","","20 / 40","35+",0.1,0,0.8,1,108.00107825878908,39.82293756366985,"sa3023086"
"Brett Banks","NYM","SIRP","A+","22.8083333",,36,"55 / 60","40 / 55","","","30 / 40","35+",15,0.25396825,0.12698413,0.538461538,3.599999942779542,4.100032188903543,"sa3023097"
"Joe Whitman","SFG","SP","A+","22.8527777",,6,"50 / 55","55 / 60","","30 / 55","35 / 55","45",103,0.24601367,0.08428246,0.43006993,4.631067961165049,4.030784588472808,"sa3023131"
"Isaiah Coupet","COL","SIRP","A","21.825",,46,"35 / 40","60 / 60","","40 / 45","30 / 50","35+",86,0.31648936,0.07180851,0.43119266,5.337209302325581,3.5414074667664464,"sa3023156"
"Jack Mahoney","COL","SP","A+","22.9472222",,27,"45 / 45","45 / 50","","45 / 50","35 / 55","40",120,0.23138833,0.06036217,0.505882352,3.9000004339218624,3.787302559461354,"sa3023157"
"James Hicks","HOU","SP","AA","23.2083333",,29,"40 / 40","55 / 60","45 / 45","45 / 50","35 / 60","35+",106,0.25054466,0.06318083,0.435643564,3.8207547169811322,3.522620247121587,"sa3023161"
