Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Nick Sandlin","CLE","SIRP","MLB","24.3916666",,33,"45 / 45","50 / 55","50 / 50","50 / 55","50 / 60","40",5,0.42857143,0.14285714,0.25,0,3.5615928024053574,"20517"
"Edwin Uceta","LAD","SP","MLB","23.3944444",,35,"45 / 45","","50 / 55","50 / 55","45 / 55","40",32.2,0.29452055,0.0890411,0.428571428,5.23469336814361,4.5283418703672025,"20539"
"Bowden Francis","MIL","SP","MLB","25.1083333",,25,"50 / 50","55 / 55","45 / 45","45 / 50","50 / 55","40",133.2,0.24863884,0.08711434,0.289772727,3.905236759129217,4.98707899617616,"20548"
"J.C. Mejia","CLE","SP","","24.7638888",,47,"50 / 50","50 / 55","","45 / 50","50 / 50","35+",26.1,0.24166667,0.13333333,0.388888888,6.4936716699807455,5.081484645100851,"20617"
"Tyler Phillips","TEX","SP","MLB","23.5944444",,29,"40 / 40","40 / 45","50 / 50","55 / 55","55 / 70","40",40.2,0.21808511,0.13829787,0.408333333,6.418033790280981,5.45110382368204,"20629"
"Jordan Holloway","MIA","SIRP","","24.9666666",,37,"60 / 60","45 / 50","","","35 / 40","35+",34.1,0.20915033,0.10457516,0.465346534,5.5048548786251175,5.051800946664054,"20631"
"Luis Castillo","ARI","SIRP","AAA","26.225",,45,"45 / 45","50 / 50","","55 / 55","50 / 50","35+",34.1,0.21212121,0.11515152,0.442307692,4.718447038821529,5.341286932365456,"20638"
"Felix Bautista","BAL","SIRP","MLB","25.9472222",,45,"65 / 65","","","","30 / 35","35+",46.2,0.39690722,0.15463918,0.341463414,1.542857353054776,3.851495901337202,"20666"
"Humberto Mejia","ARI","MIRP","","24.2444444",,28,"50 / 50","45 / 45","55 / 55","40 / 45","40 / 45","40",103.2,0.22075055,0.0816777,0.350819672,5.122186997803029,5.477512828375297,"20739"
"Cristopher Sanchez","PHI","MIRP","MLB","24.4694444",,28,"50 / 55","45 / 45","45 / 45","50 / 55","40 / 45","35+",75,0.27164179,0.15223881,0.583783783,4.8,4.1170841733614605,"20778"
"Manuel Rodriguez","CHC","SIRP","MLB","24.8194444",,33,"65 / 65","","55 / 55","","35 / 35","40",22.1,0.30526316,0.16842105,0.608695652,1.2089553895095657,4.115100491908798,"20794"
"Elvin Rodriguez","DET","SP","MLB","23.1694444",,35,"40 / 45","","50 / 50","50 / 55","40 / 50","35+",77.2,0.2462908,0.08605341,0.28372093,5.678112331683419,4.946864995032714,"20962"
"Eduard Bazardo","BOS","SIRP","MLB","25.75",,11,"55 / 60","","70 / 70","","30 / 35","40+",20.1,0.27173913,0.08695652,0.350877192,5.311476240232537,4.8898489907090585,"20997"
"Oliver Ortega","LAA","SIRP","AAA","24.6638888",,28,"55 / 55","","55 / 55","","30 / 35","35+",42.2,0.31606218,0.09326425,0.463636363,5.484374591382251,3.5538593910070415,"21025"
"Jhoan Duran","MIN","SP","MLB","23.3972222",86,6,"60 / 60","","50 / 55","45 / 50","40 / 45","50",16,0.29333333,0.17333333,0.615384615,5.0625,3.714211006462574,"21029"
"Emmanuel Clase","CLE","SIRP","MLB","23.2027777",,18,"80 / 80","50 / 55","","","40 / 40","40+",9.1,0.36363636,0,0.38095238,3.8571441708783323,2.9083256020800383,"21032"
"Luis Gil","NYY","SIRP","MLB","22.9944444",,13,"70 / 70","50 / 50","","40 / 45","40 / 45","45",81.1,0.34482759,0.12931034,0.292134831,3.8729504260989054,4.011458442179796,"21052"
"Thomas Szapucki","NYM","MIRP","","24.9694444",,10,"50 / 55","","60 / 60","40 / 45","40 / 45","40+",42.2,0.21319797,0.14213198,0.364406779,4.007812022231576,5.580452943832343,"21065"
"Demarcus Evans","TEX","SIRP","","24.6083333",,27,"70 / 70","","45 / 45","","30 / 40","40+",21.2,0.34444444,0.13333333,0.304347826,3.7384609899578107,5.137318723432073,"21087"
"Miguel Yajure","PIT","SP","","23.0833333",124,8,"50 / 55","","50 / 50","50 / 55","50 / 60","50",53.2,0.24074074,0.06944444,0.432624113,3.5217387966616807,4.04162754399907,"21111"
"Angel Felipe","TBR","SIRP","AAA","23.7527777",,60,"55 / 60","45 / 50","","45 / 55","20 / 35","35+",62.2,0.28467153,0.12043796,0.644295302,2.585106251843115,3.982311088401407,"21163"
"Dany Jimenez","TOR","SIRP","","25.4388888",,31,"60 / 60","60 / 60","","","30 / 30","35+",48.2,0.37378641,0.13106796,0.383838383,2.4041093377822107,3.1746437219114263,"21170"
"Brooks Kriske","NYY","SIRP","AAA","27.3277777",,34,"60 / 60","50 / 50","","","35 / 35","35+",34.2,0.36170213,0.14893617,0.373134328,3.6346160511999956,3.8975155309994443,"21189"
"Connor Brogdon","PHI","SIRP","MLB","26.3388888",,17,"55 / 55","","","60 / 60","50 / 50","40",7,0.44,0.12,0.454545454,0,3.0988695761987146,"21205"
"Bailey Ober","MIN","MIRP","MLB","25.8861111",,22,"45 / 45","40 / 40","45 / 50","60 / 60","60 / 60","40",16,0.32307692,0.07692308,0.512820512,2.8125,3.556864046305418,"21224"
"Daniel Robert","TEX","SIRP","MLB","26.7527777",,48,"50 / 50","70 / 70","","","45 / 45","35+",22.2,0.46666667,0.05555556,0.43902439,2.779412544310105,1.7438469215175514,"21229"
"Tommy Doyle","COL","SIRP","MLB","25.0833333",,20,"50 / 55","60 / 60","","40 / 45","45 / 50","40",10.1,0.17647059,0.09803922,0.405405405,8.709680098773617,5.204711537899255,"21281"
"Lucas Gilbreath","COL","SIRP","MLB","25.2388888",,13,"60 / 60","50 / 55","","","40 / 40","40+",11,0.34693878,0.16326531,0.375,4.90909085589007,4.3324327965999725,"21290"
"Andre Jackson","LAD","SP","","25.0833333",,14,"50 / 50","","50 / 50","45 / 50","45 / 50","45",97.2,0.2617284,0.07901235,0.360465116,3.7781573255418786,4.600299948232077,"21298"
"Jacob Latz","TEX","SP","MLB","25.1472222",,50,"45 / 45","","55 / 55","40 / 45","45 / 50","35+",98.1,0.27934272,0.11032864,0.400809716,4.393220566221105,4.714621735462141,"21306"
"Tylor Megill","NYM","SIRP","MLB","25.8416666",,23,"50 / 50","55 / 55","","","40 / 45","35+",41,0.35928144,0.07784431,0.528089887,3.2926829124688393,2.542955879159249,"21318"
"Seth Romero","WSN","MIRP","","25.1166666",,6,"45 / 50","55 / 60","","55 / 60","40 / 40","40+",35.2,0.33742331,0.09202454,0.444444444,4.542055654759029,3.108474988694221,"21333"
"Glenn Otto","NYY","SIRP","MLB","25.2222222",,37,"55 / 55","","55 / 60","","35 / 40","35+",98,0.35309278,0.06443299,0.410958904,3.1224493518168055,3.2033225378980887,"21366"
"Joe Ryan","TBR","MIRP","MLB","24.9888888",,18,"60 / 60","","50 / 50","45 / 50","50 / 60","45",69,0.37065637,0.04633205,0.386206896,3.260869565217391,3.0755819089170817,"21390"
